Number,SAT,Pairs,Evals,Backtracks,Runtime
909,True,47,5,1,7.987806081771851
910,True,45,5,1,8.035303831100464
911,True,47,43,20,10.499644041061401
912,True,45,9,3,8.04822301864624
913,True,41,10,3,8.807245254516602
914,True,49,34,16,9.460844993591309
915,True,47,19,8,9.245362997055054
916,True,46,21,10,9.322404146194458
917,True,48,4,0,8.008816242218018
918,True,45,19,8,9.100368976593018
919,True,44,35,17,12.292290925979614
920,True,43,33,16,10.488684892654419
921,True,49,43,20,10.441756963729858
922,True,45,6,1,7.976097583770752
923,True,40,7,2,8.354006052017212
924,True,42,63,30,11.193467140197754
925,True,48,20,8,8.945349216461182
926,True,45,5,1,8.12587308883667
927,True,44,13,5,8.568934917449951
928,True,44,14,5,8.910279989242554
929,True,46,78,38,12.859826803207397
930,True,43,28,13,9.449067831039429
931,True,47,5,1,8.220623016357422
932,True,44,17,6,8.609239101409912
933,True,41,19,8,9.139868021011353
934,True,48,12,3,8.456626176834106
935,True,43,25,11,9.49039626121521
936,True,44,17,7,9.151011943817139
937,True,44,21,8,9.122342824935913
938,True,47,25,10,9.662099838256836
939,True,46,13,5,8.836074113845825
940,True,47,16,7,8.755941152572632
941,True,40,62,28,13.130354881286621
942,True,47,27,12,9.500145196914673
943,True,47,9,3,8.32141900062561
944,True,47,42,20,11.469048976898193
945,True,42,12,4,8.773321866989136
946,True,41,12,5,9.090455055236816
947,True,44,11,3,8.487950801849365
948,True,44,8,2,8.45129919052124
949,True,49,2,0,7.948607921600342
950,True,45,13,5,8.542152881622314
951,True,43,30,14,9.457712173461914
952,True,44,10,3,8.52684473991394
953,True,45,8,2,8.176830053329468
954,True,44,23,10,9.690747022628784
955,True,43,7,1,8.137532711029053
956,True,45,7,2,8.361463069915771
957,True,46,3,0,7.9722819328308105
958,True,43,3,0,7.922425985336304
959,True,44,9,3,8.53220009803772
960,True,45,18,8,9.167536735534668
961,True,49,10,3,8.445319175720215
962,True,45,56,27,10.74375295639038
963,True,50,21,9,9.718196868896484
964,True,47,8,3,8.470478057861328
965,True,45,4,0,7.958169937133789
966,True,44,29,13,9.767611980438232
967,True,44,14,5,8.693373918533325
968,True,40,41,19,10.743871927261353
969,True,47,16,6,8.796652793884277
970,True,43,6,0,7.9505836963653564
971,True,48,16,6,8.373007774353027
972,True,44,3,0,7.896541118621826
973,True,45,8,2,8.271440982818604
974,True,49,15,6,8.65716814994812
975,True,46,9,3,8.645988941192627
976,True,46,6,1,8.267956018447876
977,True,46,35,17,10.02437686920166
978,True,47,6,2,8.368334770202637
979,True,46,6,2,8.446815967559814
980,True,42,12,4,8.69334888458252
981,True,43,6,2,8.172319889068604
982,True,46,21,9,9.133653163909912
983,True,44,85,42,14.763922214508057
984,True,44,13,4,8.48309874534607
985,True,50,18,7,9.573003053665161
986,True,51,3,0,7.880305051803589
987,True,46,19,8,10.176035165786743
988,True,46,15,5,8.46085786819458
989,True,41,20,9,9.587687015533447
990,True,45,15,5,8.553055047988892
991,True,48,22,8,8.961352109909058
992,True,47,5,1,8.064680099487305
993,True,48,19,8,8.870280981063843
994,True,39,9,2,8.274271965026855
995,True,44,27,13,9.872058868408203
996,True,45,7,2,8.188657760620117
997,True,44,21,8,9.38936185836792
998,True,47,19,9,9.205492973327637
999,True,49,6,2,8.236167192459106
1000,True,46,37,18,10.155250072479248
1001,True,42,30,14,34.680142641067505
1002,True,46,28,12,33.70680260658264
1003,True,50,7,3,29.830504179000854
1004,True,46,35,15,31.818846702575684
1005,True,43,13,5,29.30522131919861
1006,True,42,13,6,29.04844093322754
1007,True,46,10,3,28.447564840316772
1008,True,46,31,14,35.419665575027466
1009,True,43,54,26,34.51749396324158
1010,True,29,28,11,30.501561164855957
1011,True,44,36,17,35.40678668022156
1012,True,42,5,1,25.29832649230957
1013,True,47,30,14,30.57979965209961
1014,True,43,11,3,27.782837867736816
1015,True,48,18,8,28.783031702041626
1016,True,48,81,39,40.23809623718262
1017,True,40,7,2,26.907737731933594
1018,True,47,16,6,27.87052011489868
1019,True,41,45,21,39.76773715019226
1020,True,48,17,6,28.46735954284668
1021,True,46,5,0,25.770896196365356
1022,True,42,18,7,29.704312562942505
1023,True,47,8,2,26.772432565689087
1024,True,45,19,8,32.1492817401886
1025,True,39,31,13,30.898725986480713
1026,True,49,11,3,26.891953468322754
1027,True,49,11,3,28.243847131729126
1028,True,45,6,1,25.158830404281616
1029,True,44,33,15,34.065343141555786
1030,True,42,26,11,29.05754017829895
1031,True,41,22,9,29.281078100204468
1032,True,50,8,3,26.431726932525635
1033,True,46,25,11,29.919557809829712
1034,True,40,37,16,32.19752740859985
1035,True,44,23,10,30.504597902297974
1036,True,44,3,0,24.971670627593994
1037,True,45,10,3,26.685814380645752
1038,True,50,21,9,29.97032141685486
1039,True,27,11,2,26.216129779815674
1040,True,48,27,13,33.00696873664856
1041,True,44,17,7,30.32890772819519
1042,True,44,5,1,26.4103946685791
1043,True,43,7,1,26.34408688545227
1044,True,42,39,18,35.7270667552948
1045,True,49,40,19,31.39069700241089
1046,True,48,22,8,27.75395178794861
1047,True,47,89,42,45.20635938644409
1048,True,28,4,1,25.157294034957886
1049,True,42,7,2,26.581846714019775
1050,True,44,21,9,29.459611654281616
1051,True,53,8,2,27.01156210899353
1052,True,47,23,10,29.42593502998352
1053,True,43,4,0,24.771570920944214
1054,True,45,4,1,26.241183519363403
1055,True,44,9,3,26.707217693328857
1056,True,47,10,3,26.99734377861023
1057,True,41,23,10,32.56363129615784
1058,True,47,10,3,28.237660884857178
1059,True,41,5,1,25.98526930809021
1060,True,27,19,7,27.10704016685486
1061,True,43,7,1,25.423455715179443
1062,True,46,29,11,29.38891363143921
1063,True,30,11,4,27.795503854751587
1064,True,45,7,3,27.626538038253784
1065,True,43,11,3,25.948707103729248
1066,True,41,126,62,48.850958585739136
1067,True,43,19,9,30.05491542816162
1068,True,43,11,3,27.652510166168213
1069,True,44,18,7,30.4055814743042
1070,True,45,3,0,25.843665599822998
1071,True,46,13,5,28.372430086135864
1072,True,40,9,3,28.468276977539062
1073,True,44,22,10,28.774461269378662
1074,True,49,24,11,28.42706799507141
1075,True,49,70,34,40.93725371360779
1076,True,51,22,10,28.462007522583008
1077,True,46,14,5,28.141033172607422
1078,True,43,20,8,29.616064071655273
1079,True,37,11,3,27.468509435653687
1080,True,41,14,6,30.649940729141235
1081,True,27,317,156,105.7657835483551
1082,True,46,4,1,25.582292556762695
1083,True,43,11,5,30.191025018692017
1084,True,49,2,0,25.176208972930908
1085,True,45,8,1,26.41793203353882
1086,True,45,35,16,34.8862578868866
1087,True,40,71,35,34.43114423751831
1088,True,48,6,1,26.482446670532227
1089,True,44,40,18,37.555461168289185
1090,True,45,5,1,26.166033506393433
1091,True,47,3,0,25.910950422286987
1092,True,42,4,1,26.884477615356445
1093,True,42,40,19,36.083516120910645
1094,True,45,2,0,26.332369804382324
